Triple Rock Brewery and Alehouse	330048532109998014_4805908	Triple Rock Brewery and Alehouse	0.007319259046828098	raindancer1	http://distilleryimage6.s3.amazonaws.com/e1b4ab44346b11e29a1922000a9d0dee_7.jpg	1.353564872E9	Girls night! :) #sexybitches #mymaingirls	37.873483	-122.26863148
The Albatross Pub	330078105551487435_3425495	The Albatross Pub	0.009012355392940125	albamayo	http://distilleryimage3.s3.amazonaws.com/17078110347411e281d822000a1f9682_7.jpg	1.353568398E9	🍻 @acrush	37.870800018	-122.292877197
Boat Noodle House	331404632532802828_6925598	Boat Noodle House	0.00610545427207213	cerrrr	http://distilleryimage4.s3.amazonaws.com/466f67da35e411e2af7822000a1fb04e_7.jpg	1.353726532E9	Cal vs. Stanford game with @paulyy_deee ☺	37.871498107	-122.268501281
Missouri Lounge-Cafe	331557249398335621_7936529	Missouri Lounge-Cafe	0.006982747698967121	newagey	http://distilleryimage1.s3.amazonaws.com/a2860590360e11e2a94522000a1fbc56_7.jpg	1.353744725E9	None	37.859344482	-122.289138793
Maoz Vegetarian	331849850421944407_6152727	Maoz Vegetarian	0.008286062446880366	alecdeltaco	http://distilleryimage7.s3.amazonaws.com/d9130b3e365f11e2b74c22000a9f1427_7.jpg	1.353779606E9	Snicker doodle x mint chocolate chip collab courtesy of CREAM. Dolla dolla bills ya'll 🍦💰	37.866998121	-122.258723974
Maoz Vegetarian	332932440750872004_4157612	Maoz Vegetarian	0.008286062446880366	dope415	http://distilleryimage0.s3.amazonaws.com/53bdbf96378c11e2990322000a9f192c_7.jpg	1.353908661E9	My mouth is happy	37.866998121	-122.258723974
Manpuku	334129835960238911_1089415	Manpuku	0.0	prisczy	http://distilleryimage11.s3.amazonaws.com/abca47f238d811e2ad6922000a1fa410_7.jpg	1.354051402E9	Chahan	37.85664	-122.25296288
La Cascada Taqueria	334129835960238911_1089415	La Cascada Taqueria	0.0050342569232512185	prisczy	http://distilleryimage11.s3.amazonaws.com/abca47f238d811e2ad6922000a1fa410_7.jpg	1.354051402E9	Chahan	37.85664	-122.25296288
Mediterranean Cafe	334282974023891133_1462541	Mediterranean Cafe	0.006585526886217464	angelcee_	http://distilleryimage9.s3.amazonaws.com/2ce63038390311e2a58122000a9d0ed5_7.jpg	1.354069657E9	Got my anti-tragus piercing, loooove it 😙✨💕	37.86567541	-122.258433
Soop	334362893129205005_1590624	Soop	0.008910778986546452	benvenadi	http://distilleryimage5.s3.amazonaws.com/5b7e66de391911e29c2822000a1fbe4c_7.jpg	1.354079184E9	Homemade	37.879833	-122.269029021
Imperial Tea Court	334362893129205005_1590624	Imperial Tea Court	0.008171056333524008	benvenadi	http://distilleryimage5.s3.amazonaws.com/5b7e66de391911e29c2822000a1fbe4c_7.jpg	1.354079184E9	Homemade	37.879833	-122.269029021
Imperial Tea Court	334366842250970406_1590624	Imperial Tea Court	0.008171056333524008	benvenadi	http://distilleryimage6.s3.amazonaws.com/741a35dc391a11e2b74e22000a9e07d7_7.jpg	1.354079655E9	Modern art	37.879833	-122.269029021
Soop	334366842250970406_1590624	Soop	0.008910778986546452	benvenadi	http://distilleryimage6.s3.amazonaws.com/741a35dc391a11e2b74e22000a9e07d7_7.jpg	1.354079655E9	Modern art	37.879833	-122.269029021
La Note	334836180516825113_1112521	La Note	0.009617090944174764	tedduardo	http://distilleryimage5.s3.amazonaws.com/b8969188399c11e2a56722000a1f9d88_7.jpg	1.354135604E9	That's #breakfast	37.86623764	-122.267433166
Cheese Board Pizza	335083847816919108_5701613	Cheese Board Pizza	0.006860348081333064	parisdunk	http://distilleryimage0.s3.amazonaws.com/7668e19039e111e2957722000a1f9a39_7.jpg	1.354165129E9	Pizza, ice cream, Christmas lights.  My night with @vronnielao is complete.	37.879938182	-122.269329403
Chez Panisse	335083847816919108_5701613	Chez Panisse	0.008171607817095894	parisdunk	http://distilleryimage0.s3.amazonaws.com/7668e19039e111e2957722000a1f9a39_7.jpg	1.354165129E9	Pizza, ice cream, Christmas lights.  My night with @vronnielao is complete.	37.879938182	-122.269329403
Cesar	335083847816919108_5701613	Cesar	0.005377060186204092	parisdunk	http://distilleryimage0.s3.amazonaws.com/7668e19039e111e2957722000a1f9a39_7.jpg	1.354165129E9	Pizza, ice cream, Christmas lights.  My night with @vronnielao is complete.	37.879938182	-122.269329403
Espresso Roma	335868152584721639_9392932	Espresso Roma	0.009961875256077614	xoch93	http://distilleryimage11.s3.amazonaws.com/269ceb7c3abb11e283e822000a1f8e5b_7.jpg	1.354258625E9	Haha I drew #walle on the window x)). I'mma get in trouble	37.856998443	-122.253166198
Caffe Trieste	336186828033088034_7391269	Caffe Trieste	0.0017141014324611637	mostsmartist	http://distilleryimage2.s3.amazonaws.com/99de916e3b1311e28ac522000a9f141e_7.jpg	1.354296614E9	San Pablo Rain	37.860983	-122.289723
Caffe Venezia	337220930306793829_1784311	Caffe Venezia	0.006713610556941275	kouros	http://distilleryimage1.s3.amazonaws.com/9f40bc663c3211e2912322000a1f933e_7.jpg	1.354419889E9	None	37.871419419	-122.27546582
Elmwood Cafe	338009538134086930_8227884	Elmwood Cafe	0.006388235632936748	evamsteiner	http://distilleryimage10.s3.amazonaws.com/813511be3d0d11e28b3522000a1f9867_7.jpg	1.354513898E9	None	37.858406066	-122.253814697
Peet's Coffee and Tea	325055602671825634_31610075	Peet's Coffee and Tea	0.004237135814838747	richardtrann	http://distilleryimage10.s3.amazonaws.com/10bcd5202f0211e2917422000a1fb30b_7.jpg	1.352969669E9	I love Berkeley	37.8685423	-122.2677334
Blondies Pizza	325442024128161720_13487344	Blondies Pizza	0.006881335810919774	c_murda_	http://distilleryimage0.s3.amazonaws.com/51a202f22f6d11e2ada322000a1fbcdb_7.jpg	1.353015734E9	On the streets of Berkeley w/ Victoria & @msrafaela  #hippies #herb #cookiegetshigh	37.867797851	-122.259033203
Ryowa	325455370597033528_32057936	Ryowa	0.003338970389127306	getluccce	http://distilleryimage4.s3.amazonaws.com/05f4974e2f7111e2b97522000a1f97e9_7.jpg	1.353017325E9	thanks for lunch, denton (:<3	37.872015125	-122.269152173
Mr Pizza Man	325455370597033528_32057936	Mr Pizza Man	0.008569455501812597	getluccce	http://distilleryimage4.s3.amazonaws.com/05f4974e2f7111e2b97522000a1f97e9_7.jpg	1.353017325E9	thanks for lunch, denton (:<3	37.872015125	-122.269152173
Jupiter	325503365414396533_11458591	Jupiter	0.002346650016243412	erfyyyy	http://distilleryimage1.s3.amazonaws.com/5830348e2f7e11e2b8f122000a1f9345_7.jpg	1.353023046E9	Honestly, it's basic geometry. #BeAman #ActLikeALadyThinkLikeAManPffffft #eEqualsMcSquared #Learn #PayAttention #NoTalkingDuringClass #ZippIt #OprahsOrginalTheory #MittObviouslyDidntFollowTheseRules #YourMomsHoe #Man #YouGonLearnToday	37.869831085	-122.267929077
Twisters	325503365414396533_11458591	Twisters	0.00527382456367995	erfyyyy	http://distilleryimage1.s3.amazonaws.com/5830348e2f7e11e2b8f122000a1f9345_7.jpg	1.353023046E9	Honestly, it's basic geometry. #BeAman #ActLikeALadyThinkLikeAManPffffft #eEqualsMcSquared #Learn #PayAttention #NoTalkingDuringClass #ZippIt #OprahsOrginalTheory #MittObviouslyDidntFollowTheseRules #YourMomsHoe #Man #YouGonLearnToday	37.869831085	-122.267929077
Revival Bar and Kitchen	325606713114429308_13732752	Revival Bar and Kitchen	0.006270043421631158	schmookums	http://distilleryimage8.s3.amazonaws.com/077bf0882f9b11e2b13b22000a9f18e8_7.jpg	1.353035366E9	This OG next to me is big pimpin with a glass of wine and a beer!	37.871101958	-122.268338017
Pasand Lounge	325684340006702020_11320113	Pasand Lounge	0.005928707457750682	mehma	http://distilleryimage4.s3.amazonaws.com/9334b56e2fb011e2ae5f123138100d19_7.jpg	1.35304462E9	Breaking Dawn premiere with the roomie! 🎥👏 #twilight #dontjudgeme	37.867955409	-122.267966938
Maoz Vegetarian	325684966822225335_13182024	Maoz Vegetarian	0.008286062446880366	madddogggg	http://distilleryimage3.s3.amazonaws.com/bfbfc77c2fb011e2bb0f22000a1fbc94_7.jpg	1.353044695E9	We're happy little boyz @qcandiceq	37.866998121	-122.258723974
Thai Garlic	325725995016501825_10921133	Thai Garlic	0.004963945137379243	nabilahaynes	http://distilleryimage9.s3.amazonaws.com/22f7bc4a2fbc11e2a1b122000a1f9702_7.jpg	1.353049586E9	#pratomo #pratama #crew @jazzpratama	37.872001647	-122.269836425
Evergreen Deli	325962372015731136_18547315	Evergreen Deli	0.004956677278229024	boss_tee_f_sosa	http://distilleryimage0.s3.amazonaws.com/be92d9962ffd11e2bf8022000a1fbe54_7.jpg	1.353077764E9	On my way! To 💵🏢job slapping @e40	37.872829437	-122.268478393
Akasaka	326181217000760504_39833848	Akasaka	0.006621013920139999	emilymonforte	http://distilleryimage8.s3.amazonaws.com/7c71c026303a11e2bd9022000a1fa522_7.jpg	1.353103852E9	🐠🐠	37.861667633	-122.259162902
E-Z Stop Deli	326284670774484631_55947758	E-Z Stop Deli	0.009878746506580185	jenn_lauu	http://distilleryimage7.s3.amazonaws.com/334602c8305711e2b95b22000a1fab39_7.jpg	1.353116185E9	Happy hour at Starbucks. @swordyfish :)	37.868738198	-122.267900475
Taco Bell	326387180337747423_24504468	Taco Bell	0.008342430868565245	natalielam77	http://distilleryimage3.s3.amazonaws.com/a70542d4307311e2914322000a1f984e_7.jpg	1.353128405E9	Oh yup. #noms	37.868957519	-122.268013
Papa Johns Pizza	326387180337747423_24504468	Papa Johns Pizza	0.008342430868565245	natalielam77	http://distilleryimage3.s3.amazonaws.com/a70542d4307311e2914322000a1f984e_7.jpg	1.353128405E9	Oh yup. #noms	37.868957519	-122.268013
Starbucks Coffee	326387180337747423_24504468	Starbucks Coffee	0.009043303478168282	natalielam77	http://distilleryimage3.s3.amazonaws.com/a70542d4307311e2914322000a1f984e_7.jpg	1.353128405E9	Oh yup. #noms	37.868957519	-122.268013
Cheese Steak Shop	326711589078473121_13765421	Cheese Steak Shop	0.005889050106595631	hillienc	http://distilleryimage9.s3.amazonaws.com/b1a46a1c30cd11e2a1bd22000a9f1361_7.jpg	1.353167078E9	Where does it hurt Lu?	37.86877735	-122.293101
Fat Slice Pizza	326888913761136910_29644027	Fat Slice Pizza	0.004306757344706369	cheeeettahhead	http://distilleryimage10.s3.amazonaws.com/e954406e30fe11e2a77722000a1fbc49_7.jpg	1.353188216E9	Food!	37.867332458	-122.258834838
Naan N Curry	327239108693719816_38719989	Naan N Curry	0.008571558693770099	allysemw	http://distilleryimage4.s3.amazonaws.com/1c2bd73e316011e2918122000a9f0a12_7.jpg	1.353229963E9	#drunk bffs	37.867581555	-122.258844617
Joshu-ya	327262973951948333_11675716	Joshu-ya	0.0	afessend	http://distilleryimage5.s3.amazonaws.com/bbe5e0ca316611e283931231381b70f8_7.jpg	1.353232808E9	Sushi with the puppy! #bestfriends #embarrassing #datenight	37.865154	-122.25895984
Akasaka	327605683807331431_39833848	Akasaka	0.006621013920139999	emilymonforte	http://distilleryimage7.s3.amazonaws.com/dae5058c31c511e28b0122000a1f8e95_7.jpg	1.353273662E9	U ok?	37.861667633	-122.259162902
Maoz Vegetarian	327614183351468123_11585719	Maoz Vegetarian	0.004589412286922242	djekspoe	http://distilleryimage11.s3.amazonaws.com/36d3df8831c811e29bea22000a1f90d2_7.jpg	1.353274675E9	Popped the cherry.. #cream is the truth	37.867000579	-122.258834838
Barney's Gourmet Hamburgers	327784315781617612_23851764	Barney's Gourmet Hamburgers	0.00592566631497159	kylafox	http://distilleryimage4.s3.amazonaws.com/6f761a1631f711e2ae9022000a1f9a21_7.jpg	1.353294957E9	Eat yo greens or no dessert fo you! @los_dangeles	37.878264	-122.269153
Thai Noodle 2	328376389017343121_30360068	Thai Noodle 2	9.493529796600342E-5	royallytenenbaum	http://distilleryimage5.s3.amazonaws.com/c4cc699e329b11e29c6622000a1f9e4a_7.jpg	1.353365537E9	November 19: On Your Plate. Black pepper Thai stir fry.	37.866409326	-122.258815
